"inventarnyi_nomer","id_katalognoi"
"09:0000292817","1452093"
"09:0000292877","1452094"
"Б05:00020730","1452097"
"Б05:00014878","1452097"
"Б05:00007495","1452097"
"05:0001037171","1452097"
"06:0000294976","1452097"
"06:0000294973","1452097"
"06:0000294958","1452097"
"09:0000414454","1452102"
"09:0000292866","1452109"
"07:0000508249","1452131"
"09:0000562966","1452143"
"08:0001165503","1452143"
"19:0000009625","1452166"
"04:0001003027","1452189"
"03:0000551758","1452212"
"07:0000489578","1452212"
"06:0001014875","1452212"
"08:0000837667","1452212"
"06:0000937866","1452212"
"09:0000293246","1452225"
"09:0000293530","1452235"
"06:0000877611","1452237"
"06:0001135033","1452275"
"07:0000951728","1452285"
"07:0000672645","1452301"
"06:0000331826","1452312"
"03:0001317985","1452312"
"09:0000293450","1452314"
"05:0000913260","1452315"
"09:0000293447","1452317"
"09:0000295139","1452321"
"06:0000836635","1452357"
"08:0001081231","1452371"
"08:0001005337","1452375"
"08:0000467165","1452375"
"09:0000584735","1452375"
"05:0000918078","1452375"
"06:0000836670","1452383"
"08:0000214233","1452383"
"08:0000030004","1452383"
"05:0000669508","1452383"
"05:0000494478","1452383"
"06:0000836727","1452402"
"01:0000829003","1452420"
"01:0001836655","1452420"
"06:0000836765","1452421"
"Б05:00022071","1452435"
"10:0000229703","1452435"
"03:0001837294","1452443"
"09:0000293813","1452469"
"06:0000836873","1452489"
"Б07:00014409","1452500"
"08:0000928536","1452501"
"09:0000293892","1452510"
"07:0000886750","1452512"
"07:0000908902","1452516"
"09:0000714395","1452532"
"07:0001036298","1452532"
"08:0001014173","1452532"
"05:0000913459","1452534"
"Б06:00035760","1452539"
"01:0001978668","1452544"
"07:0000756085","1452548"
"05:0000913489","1452550"
"Б06:00035763","1452556"
"07:0000113500","1452561"
"09:0000294046","1452564"
"09:0000294053","1452568"
"01:0001856117","1452569"
"09:0000917755","1452575"
"07:0000886722","1452575"
"09:0000294144","1452577"
"09:0000294132","1452577"
"04:0001041560","1452578"
"06:0000972423","1452582"
"04:0001038038","1452588"
"01:0001856138","1452593"
"07:0000623784","1452598"
"09:0000294175","1452603"
"09:0000915618","1452613"
"01:0000986573","1452615"
"01:0001004340","1452615"
"01:0000361060","1452615"
"01:0001437259","1452615"
"01:0000361029","1452615"
"05:0000181057","1452615"
"09:0000229580","1452615"
"09:0000915605","1452628"
"08:0001262640","1452628"
"03:0001841512","1452653"
"09:0000720645","1452660"
"07:0000590066","1452660"
"07:0000791882","1452660"
"07:0001000865","1452660"
"09:0000294308","1452670"
"09:0000294318","1452673"
"06:0001055842","1452679"
"06:0001055834","1452679"
"09:0000913587","1452684"
"Б06:00040825","1452691"
"Б06:00047086","1452691"
"Б06:00047087","1452691"
"Б06:00040826","1452691"
"Б06:00041537","1452691"
"06:0000854790","1452694"
"09:0000317973","1452694"
"02:0001304937","1452710"
"08:0000969886","1452710"
"09:0000294379","1452716"
"06:0000837189","1452722"
"08:0000196328","1452727"
"09:0000588926","1452727"
"03:0001158095","1452727"
"09:0000294429","1452742"
"09:0000480309","1452747"
"07:0000634146","1452749"
"01:0001776454","1452763"
"01:0001584124","1452763"
"02:0000690549","1452763"
"03:0001713013","1452763"
"03:0001101609","1452763"
"03:0001558824","1452763"
"05:0000913722","1452766"
"06:0001125433","1452773"
"09:0000916324","1452811"
"08:0000928819","1452813"
"09:0000294665","1452845"
"01:0001856261","1452855"
"08:0000994599","1452862"
"06:0000837422","1452863"
"03:0001163100","1452871"
"09:0000573633","1452899"
"09:0000294769","1452901"
"09:0000294830","1452935"
"08:0001071832","1452938"
"04:0000580955","1452938"
"07:0000806536","1452938"
"06:0000837583","1452947"
"Б06:00035907","1452960"
"06:0000845663","1452968"
"04:0000100606","1452969"
"08:0000564268","1452969"
"06:0000904080","1452969"
"07:0000510220","1452975"
"07:0000843240","1452980"
"09:0000294948","1452983"
"09:0000294871","1452989"
"06:0000837686","1453010"
"01:0001164843","1453031"
"01:0001004380","1453031"
"03:0001769100","1453031"
"07:0000716361","1453033"
"09:0000295019","1453048"
"09:0000295040","1453060"
"08:0001152805","1453061"
"09:0000782789","1453065"
"07:0001062456","1453070"
"09:0000682225","1453071"
"09:0000295051","1453072"
"01:0001402074","1453073"
"01:0001078853","1453073"
"01:0000670687","1453073"
"02:0001302380","1453073"
"06:0000837858","1453079"
"08:0000931827","1453133"
"08:0000929091","1453148"
"01:0001856478","1453165"
"Б06:00040873","1453215"
"05:0000914052","1453217"
"09:0000815058","1453244"
"Б06:00036068","1453248"
"15:0000016476","1453256"
"08:0001225698","1453272"
"03:0001812241","1453273"
"02:0001143867","1453273"
"05:0000914096","1453277"
"06:0000838242","1453281"
"06:0000981441","1453283"
"06:0000869569","1453283"
"07:0000740173","1453283"
"01:0001856674","1453292"
"08:0001197322","1453297"
"09:0000470048","1453301"
"10:0000279274","1453304"
"08:0000929334","1453314"
"06:0000985759","1453335"
"09:0000436414","1453351"
"07:0000530652","1453352"
"06:0000838475","1453370"
"09:0000780896","1453382"
"09:0000295728","1453385"
"08:0000949280","1453409"
"01:0001856848","1453418"
"06:0000838577","1453421"
"06:0000838578","1453422"
"09:0000299565","1453458"
"09:0000295947","1453468"
"09:0000296082","1453519"
"08:0001159608","1453532"
"03:0001184151","1453547"
"03:0000261883","1453547"
"03:0000957323","1453547"
"03:0001254102","1453547"
"02:0001296032","1453547"
"02:0000676208","1453547"
"02:0000464310","1453547"
"09:0000658522","1453561"
"07:0001095638","1453561"
"09:0000296264","1453573"
"05:0001087928","1453582"
"09:0000296351","1453592"
"08:0000924307","1453602"
"05:0000895229","1453604"
"05:0001076058","1453604"
"09:0000251074","1453604"
"01:0001692653","1453604"
"06:0000936905","1453605"
"06:0000793576","1453605"
"08:0000878943","1453605"
"05:0000608264","1453605"
"11:0000062601","1453605"
"03:0001787989","1453607"
"07:0000957422","1453607"
"08:0001221378","1453607"
"06:0000730750","1453607"
"11:0000042937","1453607"
"07:0001017369","1453608"
"06:0001093452","1453611"
"03:0001788021","1453611"
"06:0000730839","1453618"
"08:0001095962","1453618"
"05:0000566132","1453618"
"08:0000993419","1453621"
"06:0000522973","1453624"
"08:0000728589","1453624"
"05:0000566135","1453624"
"05:0000914408","1453635"
"01:0001689162","1453636"
"07:0000578504","1453639"
"11:0000062660","1453639"
"07:0000707543","1453643"
"07:0000747782","1453646"
"09:0000296516","1453657"
"08:0000929644","1453660"
"09:0000296576","1453679"
"05:0000914458","1453681"
"05:0000914467","1453688"
"05:0000914479","1453696"
"07:0000230685","1453700"
"07:0000034083","1453700"
"02:0000149061","1453700"
"05:0000914492","1453702"
"09:0000621356","1453707"
"09:0000832129","1453710"
"09:0000296651","1453711"
"06:0000838747","1453713"
"05:0000914502","1453716"
"07:0000818244","1453738"
"09:0000227533","1453738"
"07:0000318695","1453738"
"08:0000500133","1453738"
"08:0000405132","1453738"
"19:0000028813","1453756"
"08:0001089345","1453780"
"08:0001054640","1453789"
"05:0000704151","1453789"
"09:0000686274","1453803"
"09:0000297010","1453833"
"03:0001132382","1453860"
"03:0000261739","1453860"
"06:0000744334","1453860"
"01:0000027854","1453860"
"08:0000830071","1453860"
"05:0000347836","1453860"
"02:0000368401","1453860"
"02:0000743983","1453860"
"08:0001130646","1453862"
"07:0000512472","1453870"
"07:0000322894","1453876"
"06:0001133075","1453879"
"06:0001040520","1453897"
"07:0000525968","1453919"
"21:0000007438","1453950"
"09:0000297385","1453950"
"09:0000559095","1453951"
"09:0000297355","1453951"
"08:0000929829","1453955"
"05:0001064494","1453975"
"09:0000846775","1453977"
"05:0000071250","1453977"
"05:0000783171","1453977"
"06:0000578327","1453980"
"09:0000297414","1453985"
"09:0000383328","1453989"
"03:0001841692","1453989"
"09:0000357518","1454031"
"06:0000839071","1454044"
"09:0000648121","1454052"
"09:0000297644","1454062"
"04:0000510952","1454076"
"07:0000513029","1454087"
"07:0000513033","1454088"
"05:0001051802","1454097"
"06:0000839147","1454109"
"06:0000839225","1454151"
"09:0000411167","1454164"
"09:0000297929","1454169"
"08:0000949408","1454179"
"01:0001857153","1454185"
"09:0000392693","1454195"
"01:0001896562","1454215"
"09:0000298039","1454229"
"09:0000299057","1454234"
"Б09:00016353","1454241"
"06:0000921362","1454246"
"02:0001379962","1454250"
"06:0000819267","1454250"
"06:0000839314","1454257"
"07:0000539296","1454268"
"09:0000491951","1454271"
"09:0000298218","1454281"
"09:0000314067","1454282"
"Б09:00018453","1454288"
"09:0000298165","1454290"
"07:0000948086","1454334"
"09:0000298351","1454340"
"09:0000298308","1454340"
"06:0000839391","1454363"
"09:0000237801","1454366"
"09:0000018964","1454366"
"07:0000202816","1454366"
"03:0000437861","1454366"
"06:0000076713","1454366"
"04:0000132723","1454366"
"05:0000456083","1454366"
"05:0000178201","1454366"
"05:0000075752","1454366"
"02:0000093483","1454366"
"08:0000004168","1454376"
"07:0000513449","1454393"
"06:0000839414","1454397"
"08:0000930081","1454425"
"05:0000066803","1454438"
"04:0001042391","1454438"
"01:0001857396","1454438"
"09:0000298522","1454440"
"01:0001857405","1454443"
"05:0000914881","1454451"
"Б06:00036261","1454453"
"07:0000983484","1454484"
"09:0000298640","1454491"
"09:0000592871","1454514"
"09:0000298727","1454529"
"09:0000298695","1454558"
"06:0000839597","1454599"
"09:0000298816","1454610"
"05:0000914950","1454617"
"10:0000326413","1454639"
"09:0000298913","1454646"
"08:0000932160","1454652"
"05:0000914990","1454665"
"02:0001083638","1454686"
"06:0000839738","1454701"
"Б08:00031674","1454716"
"09:0000605680","1454716"
"09:0000299062","1454720"
"06:0000881662","1454724"
"09:0000299139","1454754"
"08:0000796665","1454755"
"04:0000169163","1454755"
"06:0000839815","1454759"
"09:0000656451","1454767"
"09:0000299222","1454789"
"06:0000839862","1454790"
"07:0000514189","1454798"
"09:0000299350","1454822"
"Б09:00011784","1454825"
"Б09:00011786","1454825"
"02:0000327414","1454845"
"02:0000312644","1454845"
"02:0001384074","1454845"
"06:0001046837","1454845"
"01:0000387716","1454845"
"01:0001362768","1454845"
"01:0001592034","1454845"
"09:0000423082","1454863"
"06:0000840009","1454874"
"Б06:00036376","1454891"
"Б06:00055262","1454891"
"09:0000338028","1454899"
"03:0000637597","1454901"
"06:0000860251","1454901"
"06:0000840034","1454906"
"07:0001022292","1454920"
"09:0000590393","1454920"
"01:0001857882","1454933"
"06:0000978973","1454935"
"08:0000990219","1454945"
"07:0000514471","1454970"
"Б09:00013031","1454985"
"Б05:00044611","1454987"
"06:0000840152","1454989"
"06:0000909668","1455006"
"06:0001028614","1455023"
"02:0000065945","1455023"
"09:0000400167","1455037"
"06:0000147134","1455047"
"07:0000991792","1455060"
"06:0000840335","1455082"
"09:0000300182","1455089"
"06:0000840358","1455098"
"07:0000696300","1455099"
"07:0000846738","1455111"
"09:0000342095","1455125"
"06:0000840392","1455129"
"09:0000300279","1455131"
"06:0000840400","1455139"
"13:0000033807","1455148"
"08:0001303511","1455150"
"09:0000452997","1455158"
"09:0000300350","1455159"
"06:0000840448","1455186"
"09:0000300472","1455204"
"05:0001040384","1455224"
"06:0000840504","1455229"
"06:0000840514","1455233"
"01:0001493581","1455244"
"01:0001587100","1455244"
"08:0000340907","1455244"
"03:0001277448","1455244"
"03:0000407448","1455248"
"02:0001273984","1455248"
"Б05:00015654","1455248"
"06:0000840539","1455255"
"09:0000300580","1455258"
"05:0000381826","1455271"
"04:0000415005","1455271"
"08:0000713722","1455271"
"01:0001044797","1455271"
"01:0001201921","1455271"
"09:0000857921","1455271"
"03:0001311452","1455276"
"02:0001089522","1455276"
"02:0000621210","1455276"
"02:0001388983","1455276"
"01:0001480497","1455276"
"07:0000898622","1455343"
"07:0001050260","1455344"
"09:0000300820","1455351"
"07:0000760629","1455365"
"06:0000840666","1455370"
"09:0000836867","1455382"
"09:0000597370","1455382"
"Б06:00049913","1455383"
"09:0000301001","1455387"
"09:0000836808","1455395"
"03:0001341902","1455401"
"03:0001839078","1455401"
"06:0001002972","1455401"
"06:0001002965","1455401"
"01:0000969984","1455401"
"01:0000742626","1455401"
"01:0001887114","1455404"
"07:0000764533","1455407"
"07:0000515108","1455434"
"07:0000515111","1455439"
"09:0000305506","1455485"
"09:0000305473","1455485"
"06:0000840852","1455493"
"07:0000755279","1455495"
"08:0001312529","1455517"
"09:0000301240","1455518"
"09:0000301268","1455533"
"06:0000152443","1455548"
"15:0000023000","1455548"
"15:0000005066","1455548"
"07:0000984926","1455553"
"07:0000662552","1455606"
"07:0001018592","1455610"
"09:0000683137","1455621"
"06:0000915980","1455632"
"09:0000708954","1455673"
"06:0000936761","1455683"
"09:0000636018","1455697"
"08:0001313651","1455722"
"08:0001250672","1455722"
"05:0000915698","1455743"
"05:0000915702","1455747"
"09:0000867346","1455757"
"06:0000841379","1455786"
"09:0000301932","1455815"
"05:0000915771","1455819"
"Б07:00013799","1455822"
"01:0001858587","1455825"
"06:0000875427","1455834"
"06:0000841471","1455838"
"06:0000841504","1455865"
"05:0000915799","1455866"
"05:0000915838","1455895"
"06:0001131458","1455907"
"08:0001048982","1455918"
"09:0000912210","1455918"
"09:0000302119","1455918"
"08:0001213226","1455969"
"08:0000392477","1455976"
"08:0001163005","1455976"
"01:0001007008","1455976"
"03:0001394240","1455976"
"09:0000360640","1455976"
"07:0001002825","1455976"
"07:0000963584","1455976"
"03:0001181065","1455976"
"03:0001379106","1455976"
"03:0001685870","1455976"
"08:0001251156","1455997"
"03:0001825647","1456001"
"01:0001420011","1456001"
"01:0000622927","1456001"
"06:0000807582","1456001"
"06:0000808112","1456001"
"02:0001142512","1456001"
"07:0000516196","1456030"
"09:0000302298","1456039"
"05:0000949898","1456057"
"06:0000841820","1456058"
"09:0000531616","1456079"
"07:0000649058","1456080"
"07:0000746524","1456091"
"06:0000841888","1456097"
"07:0000516370","1456117"
"05:0000916044","1456134"
"07:0001118849","1456144"
"07:0000516444","1456146"
"08:0001275897","1456161"
"07:0000671188","1456163"
"09:0000302640","1456166"
"06:0000942542","1456167"
"07:0000494466","1456175"
"08:0001158079","1456190"
"06:0000841998","1456191"
"01:0001858839","1456199"
"07:0000737476","1456204"
"09:0000670301","1456222"
"03:0001010034","1456232"
"03:0000950972","1456241"
"09:0000302880","1456252"
"05:0000916173","1456267"
"09:0000302958","1456288"
"07:0000516650","1456309"
"08:0000957726","1456311"
"05:0001003913","1456327"
"09:0000303069","1456330"
"07:0000987212","1456336"
"09:0000870269","1456343"
"09:0000460995","1456346"
"07:0000964601","1456353"
"06:0000828195","1456372"
"09:0000870273","1456374"
"07:0000715588","1456375"
"09:0000303213","1456382"
"09:0000303214","1456382"
"09:0000303215","1456382"
"09:0000766614","1456385"
"13:0000021602","1456386"
"09:0000776410","1456390"
"01:0001858949","1456399"
"06:0000980713","1456400"
"09:0000910250","1456400"
"05:0001006073","1456421"
"07:0000516948","1456480"
"09:0000303626","1456561"
"05:0000247150","1456571"
"06:0000992569","1456571"
"19:0000020187","1456573"
"09:0000303673","1456574"
"08:0000932236","1456579"
"09:0000348714","1456582"
"07:0000769096","1456582"
"03:0000152457","1456582"
"06:0000842238","1456582"
"02:0000944772","1456582"
"04:0000796384","1456589"
"04:0000841739","1456589"
"05:0000906954","1456589"
"02:0001160977","1456589"
"08:0000117800","1456589"
"01:0001246937","1456589"
"09:0000110700","1456589"
"03:0000410793","1456589"
"09:0000412167","1456589"
"09:0000241599","1456589"
"09:0000358104","1456589"
"03:0001492758","1456589"
"09:0000855832","1456589"
"09:0000303693","1456594"
"01:0001859031","1456610"
"08:0001209800","1456615"
"03:0001429590","1456645"
"09:0000078715","1456660"
"09:0000303921","1456668"
"09:0000304157","1456668"
"08:0000932369","1456697"
"07:0000819935","1456723"
"08:0000932389","1456733"
"08:0000932413","1456766"
"03:0001841916","1456788"
"09:0000304314","1456806"
"05:0000528096","1456819"
"10:0000004286","1456831"
"Б06:00057699","1456848"
"09:0000304431","1456851"
"09:0000304487","1456853"
"09:0000304424","1456854"
"09:0000304574","1456890"
"08:0000514903","1456898"
"Б09:00017727","1456914"
"09:0000304605","1456918"
"07:0000517818","1456924"
"05:0001088383","1456943"
"08:0000932571","1456968"
"09:0000465255","1456973"
"05:0001045778","1456975"
"09:0000335056","1456979"
"06:0000986981","1456979"
"Б06:00036581","1456980"
"06:0000842450","1456983"
"07:0000671174","1456983"
"02:0000312805","1456983"
"08:0001253695","1456989"
"07:0001108981","1456989"
"09:0000304923","1457026"
"08:0001259408","1457036"
"01:0001326472","1457057"
"01:0001876342","1457057"
"09:0000305012","1457070"
"05:0000916606","1457077"
"07:0000807582","1457102"
"09:0000305154","1457121"
"07:0000518250","1457135"
"03:0000206418","1457143"
"03:0000944912","1457143"
"05:0000827534","1457143"
"01:0001112456","1457143"
"09:0000305234","1457147"
"09:0000305282","1457161"
"02:0001436608","1457165"
"05:0001053707","1457165"
"03:0001862844","1457165"
"09:0000415726","1457171"
"09:0000305297","1457176"
"Б09:00011916","1457227"
"09:0000412891","1457247"
"05:0000916707","1457253"
"06:0000947802","1457258"
"09:0000305541","1457270"
"08:0001098979","1457278"
"09:0000305613","1457301"
"08:0000932826","1457308"
"05:0001047556","1457312"
"05:0000916744","1457317"
"09:0000305673","1457322"
"03:0000543004","1457329"
"03:0000801004","1457329"
"09:0000305765","1457343"
"08:0000932904","1457363"
"09:0000290363","1457370"
"09:0000305905","1457388"
"06:0000843078","1457389"
"08:0000932941","1457400"
"08:0001240378","1457406"
"09:0000691807","1457439"
"08:0000933052","1457497"
"09:0000547389","1457525"
"09:0000306209","1457537"
"07:0001019304","1457542"
"07:0000518873","1457542"
"08:0001034565","1457545"
"06:0000843321","1457546"
"08:0001150997","1457553"
"06:0000843355","1457568"
"09:0000306237","1457573"
"07:0000518940","1457584"
"07:0000737133","1457584"
"08:0000973434","1457584"
"03:0001842077","1457592"
"03:0001488268","1457593"
"02:0000047546","1457593"
"Б06:00036638","1457597"
"03:0001801499","1457599"
"01:0001172541","1457599"
"05:0000998810","1457599"
"03:0000499047","1457603"
"03:0001112678","1457603"
"03:0000213555","1457603"
"03:0001433459","1457603"
"03:0001784067","1457603"
"03:0000976207","1457603"
"09:0000167793","1457603"
"09:0000604602","1457603"
"08:0000722004","1457603"
"01:0001170959","1457603"
"01:0001364122","1457603"
"01:0001768415","1457603"
"04:0000898461","1457603"
"04:0000746088","1457603"
"04:0000250170","1457603"
"02:0000559805","1457603"
"10:0000192715","1457603"
"10:0000321027","1457603"
"07:0000532173","1457640"
"06:0000843495","1457661"
"06:0000843527","1457675"
"06:0000854102","1457681"
"09:0000306446","1457689"
"08:0000933315","1457701"
"09:0000306472","1457703"
"Б09:00030965","1457705"
"Б09:00031244","1457705"
"01:0001860069","1457718"
"09:0000771120","1457718"
"06:0001011324","1457721"
"05:0001081462","1457723"
"07:0000519147","1457737"
"04:0001004419","1457744"
"07:0000617034","1457746"
"08:0001138046","1457767"
"06:0000933380","1457772"
"02:0000529558","1457776"
"02:0000877252","1457776"
"09:0000306645","1457783"
"01:0001860077","1457808"
"06:0000843687","1457809"
"07:0000614581","1457811"
"06:0000843702","1457818"
"07:0000519257","1457821"
"06:0000131850","1457833"
"02:0001430753","1457842"
"Б09:00012731","1457848"
"06:0000843753","1457856"
"03:0001842075","1457864"
"08:0001038142","1457869"
"08:0000933500","1457870"
"06:0000890445","1457870"
"Б09:00039569","1457875"
"Б06:00036696","1457879"
"09:0000306860","1457881"
"Б09:00012722","1457921"
"Б09:00024449","1457921"
"09:0000306982","1457932"
"09:0000418337","1457935"
"05:0001125878","1457938"
"07:0000631833","1457944"
"Б06:00045285","1457955"
"06:0000843883","1457962"
"08:0001185075","1457982"
"09:0000307294","1458002"
"09:0000307200","1458005"
"07:0000384325","1458008"
"10:0000326496","1458024"
"08:0001016991","1458029"
"07:0000519532","1458044"
"09:0000900498","1458046"
"07:0000623669","1458048"
"09:0000634261","1458062"
"09:0000307332","1458062"
"09:0000307336","1458066"
"05:0000917330","1458076"
"Б01:00075541","1458086"
"09:0000744094","1458098"
"02:0000166842","1458100"
"09:0000665656","1458101"
"09:0000307616","1458126"
"09:0000489899","1458138"
"07:0000519671","1458161"
"09:0000399738","1458175"
"09:0000307723","1458189"
"09:0000330412","1458198"
"09:0000307773","1458210"
"09:0000636602","1458219"
"07:0000883024","1458257"
"07:0000675094","1458257"
"09:0000307934","1458271"
"09:0000653616","1458296"
"09:0000308069","1458315"
"09:0000914682","1458318"
"09:0000438787","1458319"
"09:0000308184","1458350"
"09:0000874877","1458355"
"02:0000696263","1458404"
"01:0001567087","1458404"
"09:0000447744","1458408"
"09:0000772009","1458408"
"06:0000844461","1458411"
"06:0001028573","1458415"
"03:0001383941","1458426"
"08:0000934187","1458431"
"09:0000489806","1458432"
"09:0000442026","1458453"
"07:0000883016","1458464"
"07:0001080953","1458465"
"06:0000844535","1458474"
"05:0000917556","1458475"
"10:0000326532","1458477"
"09:0000308570","1458481"
"06:0000895827","1458481"
"08:0001071964","1458488"
"06:0000844568","1458495"
"17:0000003047","1458511"
"09:0000308782","1458546"
"09:0000392417","1458560"
"06:0000850644","1458564"
"05:0001128343","1458564"
