"id_organization","merge_column","id_yslugi"
51,"51_Народное сольное пение",41286
118,"118_Народное сольное пение",41360
114,"114_Народное сольное пение",41537
114,"114_Народное сольное пение",41546
48,"48_Народное сольное пение",41976
801,"801_Народное сольное пение",42029
801,"801_Народное сольное пение",42031
53,"53_Народное сольное пение",42248
53,"53_Народное сольное пение",42252
117,"117_Народное сольное пение",42275
117,"117_Народное сольное пение",42281
35,"35_Народное сольное пение",42743
35,"35_Народное сольное пение",42759
35,"35_Народное сольное пение",42804
59,"59_Народное сольное пение",44943
59,"59_Народное сольное пение",44944
162,"162_Народное сольное пение",45015
162,"162_Народное сольное пение",45016
67,"67_Народное сольное пение",45139
67,"67_Народное сольное пение",45140
102,"102_Народное сольное пение",45170
102,"102_Народное сольное пение",45172
59,"59_Народное сольное пение",45226
59,"59_Народное сольное пение",45229
104,"104_Народное сольное пение",51446
104,"104_Народное сольное пение",51480
39,"39_Народное сольное пение",54162
44,"44_Народное сольное пение",87976
125,"125_Народное сольное пение",88226
125,"125_Народное сольное пение",88227
112,"112_Народное сольное пение",88241
12,"12_Народное сольное пение",88394
12,"12_Народное сольное пение",88395
130,"130_Народное сольное пение",88434
130,"130_Народное сольное пение",88436
130,"130_Народное сольное пение",88437
130,"130_Народное сольное пение",88439
91,"91_Народное сольное пение",108338
137,"137_Музыкальный фольклор",39586
45,"45_Музыкальный фольклор",39938
45,"45_Музыкальный фольклор",39939
136,"136_Музыкальный фольклор",40018
83,"83_Музыкальный фольклор",40130
36,"36_Музыкальный фольклор",40157
36,"36_Музыкальный фольклор",40161
138,"138_Музыкальный фольклор",40408
121,"121_Музыкальный фольклор",40717
121,"121_Музыкальный фольклор",40732
130,"130_Музыкальный фольклор",40828
130,"130_Музыкальный фольклор",40833
137,"137_Музыкальный фольклор",40984
149,"149_Музыкальный фольклор",41208
116,"116_Музыкальный фольклор",41235
118,"118_Музыкальный фольклор",41443
51,"51_Музыкальный фольклор",41494
51,"51_Музыкальный фольклор",41499
81,"81_Музыкальный фольклор",41875
77,"77_Музыкальный фольклор",41881
77,"77_Музыкальный фольклор",41887
25,"25_Гитара",39305
118,"118_Музыкальный фольклор",42056
48,"48_Музыкальный фольклор",42067
153,"153_Музыкальный фольклор",42412
153,"153_Музыкальный фольклор",42413
153,"153_Музыкальный фольклор",42414
99,"99_Музыкальный фольклор",44425
99,"99_Музыкальный фольклор",44427
161,"161_Музыкальный фольклор",44618
161,"161_Музыкальный фольклор",44623
59,"59_Музыкальный фольклор",44709
59,"59_Музыкальный фольклор",44714
67,"67_Музыкальный фольклор",44760
67,"67_Музыкальный фольклор",44764
162,"162_Музыкальный фольклор",45020
162,"162_Музыкальный фольклор",45021
102,"102_Музыкальный фольклор",45195
102,"102_Музыкальный фольклор",45197
102,"102_Музыкальный фольклор",45237
102,"102_Музыкальный фольклор",45239
22,"22_Музыкальный фольклор",45388
22,"22_Музыкальный фольклор",45389
104,"104_Музыкальный фольклор",51862
104,"104_Музыкальный фольклор",51887
79,"79_Музыкальный фольклор",65225
79,"79_Музыкальный фольклор",65251
151,"151_Музыкальный фольклор",87891
118,"118_Музыкальный фольклор",88097
111,"111_Музыкальный фольклор",88123
130,"130_Музыкальный фольклор",88181
130,"130_Музыкальный фольклор",88182
83,"83_Музыкальный фольклор",88238
116,"116_Музыкальный фольклор",88460
136,"136_Музыкальный фольклор",89555
136,"136_Музыкальный фольклор",89710
4,"4_Музыкальный фольклор",100503
4,"4_Музыкальный фольклор",105217
138,"138_Музыкальный фольклор",107700
130,"130_Музыкальный фольклор",107960
130,"130_Музыкальный фольклор",107961
77,"77_Музыкальный фольклор",210950
77,"77_Музыкальный фольклор",210959
77,"77_Музыкальный фольклор",211183
77,"77_Музыкальный фольклор",212223
136,"136_Музыкальный фольклор",214483
108,"108_Хоровое пение",39213
41,"41_Хоровое пение",39559
4,"4_Хоровое пение",39636
31,"31_Хоровое пение",39689
42,"42_Хоровое пение",39698
24,"24_Хоровое пение",39713
19,"19_Хоровое пение",39817
80,"80_Хоровое пение",39829
95,"95_Хоровое пение",39983
96,"96_Хоровое пение",40012
136,"136_Хоровое пение",40030
14,"14_Хоровое пение",40118
81,"81_Хоровое пение",40181
12,"12_Хоровое пение",40303
138,"138_Хоровое пение",40320
97,"97_Хоровое пение",40548
46,"46_Хоровое пение",40555
101,"101_Хоровое пение",40576
103,"103_Хоровое пение",40583
112,"112_Хоровое пение",40620
121,"121_Хоровое пение",40636
24,"24_Хоровое пение",40751
26,"26_Хоровое пение",40766
100,"100_Хоровое пение",40822
130,"130_Хоровое пение",40825
50,"50_Хоровое пение",41021
49,"49_Хоровое пение",41023
33,"33_Хоровое пение",41028
13,"13_Хоровое пение",41093
85,"85_Хоровое пение",41134
40,"40_Хоровое пение",41170
116,"116_Хоровое пение",41171
99,"99_п/п",319089
43,"43_Хоровое пение",41349
106,"106_Хоровое пение",41356
131,"131_Хоровое пение",41368
24,"24_Хоровое пение",41409
94,"94_Хоровое пение",41426
110,"110_Хоровое пение",41540
109,"109_Хоровое пение",41554
11,"11_Хоровое пение",41619
49,"49_Хоровое пение",41706
10,"10_Хоровое пение",41726
19,"19_Хоровое пение",41824
29,"29_Хоровое пение",41848
128,"128_Хоровое пение",41849
77,"77_Хоровое пение",41949
154,"154_Хоровое пение",41962
88,"88_Хоровое пение",41991
89,"89_Хоровое пение",42007
48,"48_Хоровое пение",42078
78,"78_Хоровое пение",42161
95,"95_Аккордеон",16876
49,"49_Хоровое пение",42263
49,"49_Хоровое пение",42391
145,"145_Хоровое пение",42397
145,"145_Хоровое пение",42406
111,"111_Хоровое пение",42761
35,"35_Хоровое пение",42807
99,"99_Хоровое пение",44428
59,"59_Хоровое пение",45228
161,"161_Хоровое пение",45249
22,"22_Хоровое пение",45390
119,"119_Хоровое пение",45418
104,"104_Хоровое пение",51922
92,"92_Хоровое пение",56822
9,"9_Хоровое пение",87688
76,"76_Хоровое пение",88110
130,"130_Хоровое пение",88177
122,"122_Хоровое пение",88239
23,"23_Хоровое пение",88289
31,"31_Хоровое пение",88421
122,"122_Хоровое пение",88458
122,"122_Хоровое пение",88459
143,"143_Хоровое пение",88476
136,"136_Хоровое пение",89708
99,"99_Хоровое пение",107573
106,"106_Хоровое пение",107709
130,"130_Хоровое пение",108162
46,"46_Хоровое пение",108356
114,"114_Хоровое пение",112002
4,"4_Хоровое пение",123841
95,"95_Хоровое пение",207694
138,"138_Хоровое пение",213410
106,"106_Хоровое пение",213516
136,"136_Хоровое пение",214468
43,"43_Хоровое пение",215532
25,"25_Эстрадно-джазовое пение",39339
31,"31_Эстрадно-джазовое пение",39545
31,"31_Эстрадно-джазовое пение",39564
121,"121_Эстрадно-джазовое пение",39718
121,"121_Эстрадно-джазовое пение",39721
14,"14_Эстрадно-джазовое пение",40097
14,"14_Эстрадно-джазовое пение",40098
136,"136_Эстрадно-джазовое пение",40203
136,"136_Эстрадно-джазовое пение",40211
136,"136_Эстрадно-джазовое пение",40247
114,"114_Эстрадно-джазовое пение",40279
12,"12_Эстрадно-джазовое пение",40309
12,"12_Эстрадно-джазовое пение",40312
154,"154_Эстрадно-джазовое пение",40705
154,"154_Эстрадно-джазовое пение",40711
154,"154_Эстрадно-джазовое пение",40719
10900,"10900_Бусинка",115217
13,"13_Эстрадно-джазовое пение",40830
13,"13_Эстрадно-джазовое пение",40839
13,"13_Эстрадно-джазовое пение",41124
118,"118_Эстрадно-джазовое пение",41212
51,"51_Эстрадно-джазовое пение",41239
51,"51_Эстрадно-джазовое пение",41244
94,"94_Эстрадно-джазовое пение",41380
2,"2_Эстрадно-джазовое пение",41416
110,"110_Эстрадно-джазовое пение",41532
110,"110_Эстрадно-джазовое пение",41535
128,"128_Эстрадно-джазовое пение",41742
801,"801_Эстрадно-джазовое пение",42022
801,"801_Эстрадно-джазовое пение",42025
78,"78_Эстрадно-джазовое пение",42152
53,"53_Эстрадно-джазовое пение",42190
53,"53_Эстрадно-джазовое пение",42205
162,"162_Эстрадно-джазовое пение",42615
117,"117_Эстрадно-джазовое пение",42778
117,"117_Эстрадно-джазовое пение",42780
162,"162_Эстрадно-джазовое пение",43587
162,"162_Эстрадно-джазовое пение",43589
22,"22_Эстрадно-джазовое пение",45369
104,"104_Эстрадно-джазовое пение",51119
104,"104_Эстрадно-джазовое пение",51183
44,"44_Эстрадно-джазовое пение",57159
112,"112_Эстрадно-джазовое пение",87902
112,"112_Эстрадно-джазовое пение",87904
121,"121_Эстрадно-джазовое пение",88022
111,"111_Эстрадно-джазовое пение",88119
31,"31_Эстрадно-джазовое пение",88342
31,"31_Эстрадно-джазовое пение",88343
12,"12_Эстрадно-джазовое пение",88368
12,"12_Эстрадно-джазовое пение",88369
143,"143_Эстрадно-джазовое пение",107907
162,"162_Эстрадно-джазовое пение",128336
162,"162_Эстрадно-джазовое пение",128338
13,"13_Эстрадно-джазовое пение",210864
114,"114_Эстрадно-джазовое пение",211756
136,"136_Эстрадно-джазовое пение",214548
132,"132_Компьютерная музыка",41324
51,"51_Компьютерная музыка",41404
801,"801_Компьютерная музыка",42092
801,"801_Компьютерная музыка",42760
801,"801_Компьютерная музыка",45328
22,"22_Компьютерная музыка",45391
12,"12_Компьютерная музыка",88268
12,"12_Компьютерная музыка",88397
95,"95_Аккордеон",16510
1,"1_Аккордеон (комплексная  5-летняя программа)",24339
1,"1_Аккордеон (комплексная  7-летняя программа)",24347
59,"59_Аккордеон",24954
59,"59_Аккордеон",24955
59,"59_Аккордеон",25002
59,"59_Аккордеон",25622
59,"59_Аккордеон",25623
65,"65_5 лет",26329
1,"1_Аккордеон (комплексная  5-летняя программа)",27240
67,"67_Аккордеон (комплексная  5-летняя программа)",27244
1,"1_Аккордеон (комплексная  7-летняя программа)",27251
1,"1_Аккордеон (комплексная  7-летняя программа)",27254
67,"67_Аккордеон (комплексная  7-летняя программа)",27261
70,"70_аккордеон (комплексная образовательная  5-летняя программа) ",28440
70,"70_аккордеон (комплексная образовательная 7-летняя программа)",28478
68,"68_Аккордеон 7",29339
68,"68_Аккордеон",29395
68,"68_Аккордеон",29451
111,"111_Аккордеон",29992
1,"1_Аккордеон (комплексная  5-летняя программа)",31138
15,"15_Аккордеон (комплексная  5-летняя программа)",39140
15,"15_Аккордеон (комплексная  7-летняя программа)",39141
17,"17_Аккордеон (комплексная  5-летняя программа)",39194
17,"17_Аккордеон (комплексная  7-летняя программа)",39198
23,"23_Аккордеон (комплексная  5-летняя программа)",39241
23,"23_Аккордеон (комплексная  7-летняя программа)",39242
20,"20_Аккордеон (комплексная  7-летняя программа)",39273
20,"20_Аккордеон (комплексная  7-летняя программа)",39277
31,"31_Аккордеон (комплексная  5-летняя программа)",39300
20,"20_Аккордеон (комплексная  5-летняя программа)",39317
4,"4_Аккордеон (комплексная  5-летняя программа)",39347
4,"4_Аккордеон (комплексная  7-летняя программа)",39352
25,"25_Аккордеон (комплексная  5-летняя программа)",39356
25,"25_Аккордеон (комплексная  7-летняя программа)",39359
105,"105_Аккордеон (комплексная  5-летняя программа)",39420
137,"137_Аккордеон (комплексная  7-летняя программа)",39441
90,"90_Аккордеон (комплексная  5-летняя программа)",39442
12,"12_Аккордеон (комплексная  5-летняя программа)",39497
114,"114_Аккордеон (комплексная  5-летняя программа)",39506
31,"31_Аккордеон (комплексная  7-летняя программа)",39539
8,"8_Аккордеон (комплексная  7-летняя программа)",39554
31,"31_Аккордеон (комплексная  5-летняя программа)",39646
31,"31_Аккордеон (комплексная  7-летняя программа)",39648
121,"121_Аккордеон (комплексная  7-летняя программа)",39649
121,"121_Аккордеон (комплексная  5-летняя программа)",39657
90,"90_Аккордеон (комплексная  7-летняя программа)",39674
82,"82_Аккордеон (комплексная  5-летняя программа)",39699
121,"121_Аккордеон (комплексная  5-летняя программа)",39701
82,"82_Аккордеон (комплексная  7-летняя программа)",39704
123,"123_Аккордеон (комплексная  7-летняя программа)",39723
123,"123_Аккордеон (комплексная  5-летняя программа)",39724
96,"96_Аккордеон (комплексная  5-летняя программа)",39729
96,"96_Аккордеон (комплексная  7-летняя программа)",39732
80,"80_Аккордеон (комплексная  7-летняя программа)",39795
139,"139_Аккордеон (комплексная  7-летняя программа)",39815
139,"139_Аккордеон (комплексная  5-летняя программа)",39823
139,"139_Аккордеон (комплексная  5-летняя программа)",39826
12,"12_Бас-гитара",88391
88,"88_Аккордеон (комплексная  5-летняя программа)",39848
88,"88_Аккордеон (комплексная  7-летняя программа)",39849
45,"45_Аккордеон (комплексная  5-летняя программа)",39902
45,"45_Аккордеон (комплексная  7-летняя программа)",39904
19,"19_Аккордеон (комплексная  7-летняя программа)",39922
19,"19_Аккордеон (комплексная  5-летняя программа)",39926
136,"136_Аккордеон (комплексная  5-летняя программа)",39960
136,"136_Аккордеон (комплексная  7-летняя программа)",39968
95,"95_Аккордеон (комплексная  5-летняя программа)",39995
95,"95_Аккордеон (комплексная  7-летняя программа)",39997
56,"56_Аккордеон (комплексная  7-летняя программа)",40033
56,"56_Аккордеон (комплексная  5-летняя программа)",40035
29,"29_Аккордеон (комплексная  5-летняя программа)",40038
29,"29_Аккордеон (комплексная  7-летняя программа)",40045
14,"14_Аккордеон (комплексная  5-летняя программа)",40099
14,"14_Аккордеон (комплексная  7-летняя программа)",40100
83,"83_Аккордеон (комплексная  5-летняя программа)",40124
81,"81_Аккордеон (комплексная  5-летняя программа)",40135
81,"81_Аккордеон (комплексная  7-летняя программа)",40139
36,"36_Аккордеон (комплексная  5-летняя программа)",40152
36,"36_Аккордеон (комплексная  7-летняя программа)",40154
12,"12_Аккордеон (комплексная  7-летняя программа)",40233
140,"140_Аккордеон (комплексная  5-летняя программа)",40255
114,"114_Аккордеон (комплексная  7-летняя программа)",40274
91,"91_Аккордеон (комплексная  5-летняя программа)",40306
91,"91_Аккордеон (комплексная  7-летняя программа)",40310
97,"97_Аккордеон (комплексная  5-летняя программа)",40317
105,"105_Блокфлейта",39492
97,"97_Аккордеон (комплексная  7-летняя программа)",40332
76,"76_Аккордеон (комплексная  7-летняя программа)",40353
112,"112_Аккордеон (комплексная  5-летняя программа)",40356
40,"40_Аккордеон (комплексная  7-летняя программа)",40365
112,"112_Аккордеон (комплексная  7-летняя программа)",40370
130,"130_Аккордеон (комплексная  5-летняя программа)",40373
107,"107_Аккордеон (комплексная  5-летняя программа)",40388
107,"107_Аккордеон (комплексная  5-летняя программа)",40389
152,"152_Аккордеон (комплексная  5-летняя программа)",40402
78,"78_Аккордеон (комплексная  5-летняя программа)",40403
74,"74_Аккордеон (комплексная  5-летняя программа)",40404
103,"103_Аккордеон (комплексная  5-летняя программа)",40409
103,"103_Аккордеон (комплексная  7-летняя программа)",40417
74,"74_Аккордеон (комплексная  7-летняя программа)",40420
152,"152_Аккордеон (комплексная  7-летняя программа)",40435
107,"107_Аккордеон (комплексная  7-летняя программа)",40437
138,"138_Аккордеон (комплексная  5-летняя программа)",40449
16,"16_Аккордеон (комплексная  5-летняя программа)",40519
16,"16_Аккордеон (комплексная  7-летняя программа)",40521
13,"13_Аккордеон (комплексная  5-летняя программа)",40528
140,"140_Аккордеон (комплексная  5-летняя программа)",40649
50,"50_Аккордеон (комплексная  5-летняя программа)",40661
154,"154_Аккордеон (комплексная  5-летняя программа)",40670
50,"50_Аккордеон (комплексная  7-летняя программа)",40675
37,"37_Аккордеон (комплексная  7-летняя программа)",40682
154,"154_Аккордеон (комплексная  7-летняя программа)",40696
100,"100_Аккордеон (комплексная  7-летняя программа)",40713
32,"32_Гитара",39385
101,"101_Аккордеон (комплексная  7-летняя программа)",40726
110,"110_Аккордеон (комплексная  7-летняя программа)",40728
110,"110_Аккордеон (комплексная  5-летняя программа)",40731
52,"52_Аккордеон (комплексная  5-летняя программа)",40788
