"id_org";"metro_new"
90002;Перово
90005;Тушинская
90010;Менделеевская
90013;Крылатское
90016;Пионерская
90019;Киевская 
90026;Цветной бульвар
90030;Таганская 
90986;Сходненская
90986;Планерная
107479;Ботанический сад
108073;Марксистская
108077;Митино
108077;Планерная
108214;Университет
108255;Добрынинская
108255;Серпуховская
125322;Митино
10840;Саларьево
125672;Коломенская
125767;ВДНХ
125767;Преображенская площадь
125767;Бульвар Рокоссовского
173248;Сухаревская
10832;Автозаводская
10832;Дубровка
10833;Южная
10833;Чертановская
10834;Речной вокзал
10835;Домодедовская
10835;Шипиловская
10835;Орехово
10837;Планерная
10838;Кутузовская
10838;Багратионовская
10838;Парк Победы
10839;Октябрьское поле
10839;Полежаевская
10839;Щукинская
10840;Юго-Западная
10840;Тропарёво
10841;Пражская
10841;Улица Академика Янгеля
10842;Бульвар адмирала Ушакова
10843;Пражская
10844;Выхино
10845;Кунцевская 
10845;Молодежная
10845;Кунцевская 
10847;Планерная
10848;Улица Академика Янгеля
10850;Домодедовская
10850;Красногвардейская
10850;Шипиловская
10850;Орехово
10851;Коломенская
10852;Бульвар Дмитрия Донского
10854;Крылатское
10854;Молодежная
10854;Строгино
10855;Тушинская
10856;Алтуфьево
10856;Бабушкинская
10856;Бибирево
10857;Алтуфьево
10857;Бибирево
10857;Медведково
10863;Тропарёво
10863;Румянцево
10863;Саларьево
10865;Октябрьское поле
10866;Щелковская
10868;Калужская
10868;Проспект Вернадского
10869;Строгино
10870;Октябрьское поле
10870;Полежаевская
10870;Щукинская
10872;Текстильщики
10873;Ясенево
10874;Волоколамская
10874;Митино
10874;Тушинская
10874;Пятницкое шоссе
10876;Пятницкое шоссе
10895;Бабушкинская
10876;Речной вокзал
10877;Фили
10878;Юго-Западная
10879;Кунцевская 
10879;Славянский бульвар
10879;Юго-Западная
10879;Кунцевская 
10881;Рязанский проспект
10882;Филевский парк
10883;Кантемировская
10883;Каширская 
10883;Каширская 
10884;Строгино
10885;Тимирязевская
10886;Пятницкое шоссе
10886;Речной вокзал
10887;Калужская
10888;Академическая
10889;Улица Скобелевская
10894;Бабушкинская
10895;Бибирево
10895;Медведково
10896;Тимирязевская
10896;Петровско-Разумовская
10897;Новокосино
10898;Аэропорт
10898;Дмитровская
10898;Динамо
10899;Курская 
10899;Тургеневская
10899;Чистые пруды
10899;Сретенский бульвар
10899;Курская 
10900;Царицыно
10901;Нагорная
10902;Октябрьское поле
10903;Проспект Вернадского
10903;Юго-Западная
10904;Марьина Роща
10905;Коньково
10906;Чертановская
10907;Алма-Атинская
10907;Братиславская
10907;Кузьминки
10908;Алексеевская
10909;Ботанический сад
10909;Свиблово
10910;Водный стадион
10910;Речной вокзал
10911;Крылатское
10912;Домодедовская
10912;Красногвардейская
10912;Шипиловская
10912;Орехово
10914;Речной вокзал
10914;Петровско-Разумовская
10917;Лермонтовский проспект
10918;Алексеевская
10918;ВДНХ
10919;Алтуфьево
10919;Петровско-Разумовская
10920;Курская 
10920;Курская 
10920;Чкаловская
10922;Братиславская
10922;Люблино
10922;Марьино
10925;Пушкинская
10925;Тверская
10925;Чеховская
21810;ВДНХ
21914;Кузнецкий мост
21914;Театральная
21979;Пятницкое шоссе
21979;Речной вокзал
22399;Новогиреево
22399;Новокосино
22399;Перово
22862;Новослободская
